tweet_id,retweet_count,favorite_count,text_letters_num,tweet_day,tweet_month,tweet_year
834167344700198914,3872,16427,135,Tue,Feb,2017
834089966724603904,2260,10470,52,Tue,Feb,2017
834086379323871233,2360,13613,95,Tue,Feb,2017
833863086058651648,2551,13978,102,Tue,Feb,2017
833826103416520705,3969,18773,139,Mon,Feb,2017
833732339549220864,228,0,139,Mon,Feb,2017
833722901757046785,3414,21612,140,Mon,Feb,2017
833479644947025920,2193,15483,62,Mon,Feb,2017
833124694597443584,5145,21065,118,Sun,Feb,2017
832998151111966721,2360,13858,140,Sat,Feb,2017
832769181346996225,39,0,95,Sat,Feb,2017
832757312314028032,3856,17554,135,Sat,Feb,2017
832682457690300417,3122,12388,42,Fri,Feb,2017
832645525019123713,553,3044,103,Fri,Feb,2017
832636094638288896,2967,16519,93,Fri,Feb,2017
832397543355072512,2370,12454,129,Fri,Feb,2017
832369877331693569,3396,17928,112,Thu,Feb,2017
832273440279240704,2487,11800,130,Thu,Feb,2017
832215909146226688,6598,0,140,Thu,Feb,2017
832215726631055365,9992,0,106,Thu,Feb,2017
832088576586297345,2,69,40,Thu,Feb,2017
832040443403784192,10345,0,139,Thu,Feb,2017
832032802820481025,4953,18610,139,Thu,Feb,2017
831939777352105988,6540,25049,140,Wed,Feb,2017
831926988323639298,35,357,22,Wed,Feb,2017
831911600680497154,6954,28874,139,Wed,Feb,2017
831670449226514432,1933,10916,60,Wed,Feb,2017
831650051525054464,2069,7498,138,Tue,Feb,2017
831552930092285952,2451,9385,117,Tue,Feb,2017
831322785565769729,1638,9632,116,Tue,Feb,2017
831315979191906304,1192,6825,134,Tue,Feb,2017
831309418084069378,2614,12258,138,Tue,Feb,2017
831262627380748289,2190,12438,116,Mon,Feb,2017
830956169170665475,1592,8329,60,Mon,Feb,2017
830583320585068544,17961,69881,94,Sun,Feb,2017
830173239259324417,6091,0,140,Fri,Feb,2017
830097400375152640,3201,10259,140,Fri,Feb,2017
829878982036299777,5373,0,112,Fri,Feb,2017
829861396166877184,2092,12789,113,Fri,Feb,2017
829501995190984704,11362,33175,127,Thu,Feb,2017
829449946868879360,2164,10937,120,Wed,Feb,2017
829374341691346946,9956,36179,76,Wed,Feb,2017
829141528400556032,7928,25604,114,Wed,Feb,2017
829011960981237760,17357,55452,127,Tue,Feb,2017
828801551087042563,3634,0,140,Tue,Feb,2017
828770345708580865,6272,26726,137,Tue,Feb,2017
828708714936930305,12018,38280,133,Mon,Feb,2017
828650029636317184,1442,9930,80,Mon,Feb,2017
828409743546925057,1232,6602,70,Mon,Feb,2017
828408677031882754,1378,8025,131,Mon,Feb,2017
828381636999917570,2381,13220,122,Sun,Feb,2017
828376505180889089,1143,7724,112,Sun,Feb,2017
828372645993398273,3164,13134,123,Sun,Feb,2017
828361771580813312,181,2298,57,Sun,Feb,2017
828046555563323392,3066,12314,123,Sun,Feb,2017
828011680017821696,2301,10845,124,Sat,Feb,2017
827933404142436356,5595,21068,134,Sat,Feb,2017
827653905312006145,3219,16153,123,Fri,Feb,2017
827600520311402496,1018,7753,139,Fri,Feb,2017
827324948884643840,3275,16622,127,Fri,Feb,2017
827199976799354881,2405,11075,129,Thu,Feb,2017
826958653328592898,5373,22619,73,Thu,Feb,2017
826848821049180160,10963,38215,136,Wed,Feb,2017
826615380357632002,4237,0,140,Wed,Feb,2017
826598799820865537,270,5364,69,Wed,Feb,2017
826598365270007810,2516,10570,75,Wed,Feb,2017
826476773533745153,4502,19326,132,Tue,Jan,2017
826240494070030336,2778,13908,114,Tue,Jan,2017
826204788643753985,999,5112,116,Mon,Jan,2017
826115272272650244,3365,16422,75,Mon,Jan,2017
825876512159186944,2006,10980,106,Mon,Jan,2017
825829644528148480,2672,13354,115,Sun,Jan,2017
825535076884762624,18465,54681,118,Sun,Jan,2017
825147591692263424,4908,19213,110,Sat,Jan,2017
825120256414846976,1369,0,140,Fri,Jan,2017
825026590719483904,1369,6657,140,Fri,Jan,2017
824796380199809024,5902,0,117,Fri,Jan,2017
824775126675836928,3779,15710,132,Fri,Jan,2017
824663926340194305,1862,10584,103,Thu,Jan,2017
824325613288833024,11173,12383,55,Wed,Jan,2017
824297048279236611,4158,15824,82,Wed,Jan,2017
824025158776213504,631,5015,44,Tue,Jan,2017
823939628516474880,2909,11180,79,Tue,Jan,2017
823719002937630720,12055,0,123,Tue,Jan,2017
823699002998870016,2593,13230,135,Tue,Jan,2017
823581115634085888,2847,13690,106,Mon,Jan,2017
823333489516937216,27,733,20,Mon,Jan,2017
823322678127919110,4324,16541,106,Mon,Jan,2017
823269594223824897,10597,0,134,Sun,Jan,2017
822975315408461824,3703,18181,118,Sun,Jan,2017
822872901745569793,47182,139041,87,Sat,Jan,2017
822859134160621569,2462,13914,122,Sat,Jan,2017
822647212903690241,6895,0,133,Sat,Jan,2017
822610361945911296,3187,15550,123,Sat,Jan,2017
822489057087389700,6895,19105,94,Fri,Jan,2017
822462944365645825,15751,29898,136,Fri,Jan,2017
